0,1,2,3,4,5
AK,Juneau,2022,General Fund,gf22,"$111,551,500.00"
AK,Juneau,2022,Police,p22,"$18,443,400.00"
AK,Juneau,2023,General Fund,gf23,"$116,668,000.00"
AK,Juneau,2023,Police,p23,"$18,679,200.00"
AK,Juneau,2024,General Fund,,"$133,766,900.00"
AK,Juneau,2024,Police,,"$20,854,400.00"
AK,Juneau,2025,General Fund,,
AK,Juneau,2025,Police,,
AL,Anniston,2018,General Fund,gf18,"$37,870,850.00"
AL,Anniston,2018,Police,p18,"$8,287,300.00"
AL,Anniston,2019,General Fund,gf19,"$39,504,650.00"
AL,Anniston,2019,Police,p19,"$7,987,000.00"
AL,Anniston,2020,General Fund,gf20,"$39,948,850.00"
AL,Anniston,2020,Police,p20,"$8,210,500.00"
AL,Anniston,2021,General Fund,gf21,"$42,167,750.00"
AL,Anniston,2021,Police,p21,"$7,920,000.00"
AL,Anniston,2022,General Fund,gf22,"$42,252,450.00"
AL,Anniston,2022,Police,p22,"$8,191,375.00"
AL,Anniston,2023,General Fund,gf23,"$43,988,333.00"
AL,Anniston,2023,Police,p23,"$8,399,400.00"
AL,Anniston,2024,General Fund,,"$46,500,501.00"
AL,Anniston,2024,Police,,"$8,896,100.00"
AL,Anniston,2025,General Fund,,
AL,Anniston,2025,Police,,
AL,Auburn,2018,General Fund,gf18,"$93,896,762.00"
AL,Auburn,2018,Police,p18,"$13,416,165.00"
AL,Auburn,2019,General Fund,gf19,"$98,774,614.00"
AL,Auburn,2019,Police,p19,"$14,552,814.00"
AL,Auburn,2020,General Fund,gf20,"$105,649,112.00"
AL,Auburn,2020,Police,p20,"$15,432,645.00"
AL,Auburn,2021,General Fund,gf21,"$112,102,224.00"
AL,Auburn,2021,Police,p21,"$17,265,866.00"
AL,Auburn,2022,General Fund,gf22,"$109,736,073.00"
AL,Auburn,2022,Police,p22,"$18,006,336.00"
AL,Auburn,2023,General Fund,gf23,"$139,844,522.00"
AL,Auburn,2023,Police,p23,"$19,422,324.00"
AL,Auburn,2024,General Fund,,"$148,714,248.00"
AL,Auburn,2024,Police,,"$21,246,570.00"
AL,Auburn,2025,General Fund,,
AL,Auburn,2025,Police,,
AL,Birmingham,2018,General Fund,gf18,"$359,314,525.00"
AL,Birmingham,2018,Police,p18,"$98,025,964.00"
AL,Birmingham,2019,General Fund,gf19,"$361,797,447.00"
AL,Birmingham,2019,Police,p19,"$94,724,435.00"
AL,Birmingham,2020,General Fund,gf20,"$369,032,040.00"
AL,Birmingham,2020,Police,p20,"$92,775,797.00"
AL,Birmingham,2021,General Fund,gf21,"$364,102,793.00"
AL,Birmingham,2021,Police,p21,"$104,619,650.00"
AL,Birmingham,2022,General Fund,gf22,"$375,620,069.00"
AL,Birmingham,2022,Police,p22,"$100,548,710.00"
AL,Birmingham,2023,General Fund,gf23,"$453,250,447.00"
AL,Birmingham,2023,Police,p23,"$118,492,896.00"
AL,Birmingham,2024,General Fund,,"$321,962,856.00"
AL,Birmingham,2024,Police,,"$66,602,201.00"
AL,Birmingham,2025,General Fund,,
AL,Birmingham,2025,Police,,
AL,Dothan,2018,General Fund,gf18,"$90,289,022.00"
AL,Dothan,2018,Police,p18,"$19,596,436.00"
AL,Dothan,2019,General Fund,gf19,"$90,960,283.00"
AL,Dothan,2019,Police,p19,"$20,182,059.00"
AL,Dothan,2020,General Fund,gf20,"$98,581,320.00"
AL,Dothan,2020,Police,p20,"$22,247,926.00"
AL,Dothan,2021,General Fund,gf21,"$96,039,930.00"
AL,Dothan,2021,Police,p21,"$23,049,692.00"
AL,Dothan,2022,General Fund,gf22,"$123,824,452.00"
AL,Dothan,2022,Police,p22,"$25,466,079.00"
AL,Dothan,2023,General Fund,gf23,"$107,673,952.00"
AL,Dothan,2023,Police,p23,"$24,767,564.00"
AL,Dothan,2024,General Fund,,
AL,Dothan,2024,Police,,
AL,Dothan,2025,General Fund,,
AL,Dothan,2025,Police,,
AL,Gadsden,2018,General Fund,gf18,"$56,275,245.00"
AL,Gadsden,2018,Police,p18,"$10,561,616.00"
AL,Gadsden,2019,General Fund,gf19,"$51,613,065.00"
AL,Gadsden,2019,Police,p19,"$10,858,908.00"
AL,Gadsden,2020,General Fund,gf20,"$52,556,230.00"
AL,Gadsden,2020,Police,p20,"$11,201,159.00"
AL,Gadsden,2021,General Fund,gf21,"$51,405,294.00"
AL,Gadsden,2021,Police,p21,"$11,305,891.00"
AL,Gadsden,2022,General Fund,gf22,"$53,203,745.00"
AL,Gadsden,2022,Police,p22,"$10,937,503.00"
AL,Gadsden,2023,General Fund,gf23,"$56,638,170.00"
AL,Gadsden,2023,Police,p23,"$11,366,438.00"
AL,Gadsden,2024,General Fund,,"$60,250,513.00"
AL,Gadsden,2024,Police,,"$11,987,874.00"
AL,Gadsden,2025,General Fund,,
AL,Gadsden,2025,Police,,
AL,Huntsville,2018,General Fund,gf18,"$193,081,192.00"
AL,Huntsville,2018,Police,p18,"$46,216,293.00"
AL,Huntsville,2019,General Fund,gf19,"$214,449,010.00"
AL,Huntsville,2019,Police,p19,"$48,851,707.00"
AL,Huntsville,2020,General Fund,gf20,"$224,497,372.00"
AL,Huntsville,2020,Police,p20,"$53,371,728.00"
AL,Huntsville,2021,General Fund,gf21,"$226,630,107.00"
AL,Huntsville,2021,Police,p21,"$55,125,886.00"
AL,Huntsville,2022,General Fund,gf22,"$219,394,387.00"
AL,Huntsville,2022,Police,p22,"$56,670,720.00"
AL,Huntsville,2023,General Fund,gf23,"$281,086,081.00"
AL,Huntsville,2023,Police,p23,"$63,340,594.00"
AL,Huntsville,2024,General Fund,,"$279,404,350.00"
AL,Huntsville,2024,Police,,"$72,657,170.00"
AL,Huntsville,2025,General Fund,,
AL,Huntsville,2025,Police,,
AL,Mobile,2018,General Fund,gf18,"$237,556,687.00"
AL,Mobile,2018,Police,p18,"$52,256,560.00"
AL,Mobile,2019,General Fund,gf19,"$241,593,019.00"
AL,Mobile,2019,Police,p19,"$51,947,101.00"
AL,Mobile,2020,General Fund,gf20,"$259,873,100.00"
AL,Mobile,2020,Police,p20,"$57,938,350.00"
AL,Mobile,2021,General Fund,gf21,"$280,605,197.00"
AL,Mobile,2021,Police,p21,"$58,666,865.00"
AL,Mobile,2022,General Fund,gf22,"$278,410,325.00"
AL,Mobile,2022,Police,p22,"$63,663,945.00"
AL,Mobile,2023,General Fund,gf23,"$298,157,611.00"
AL,Mobile,2023,Police,p23,"$67,180,251.00"
AL,Mobile,2024,General Fund,,"$331,171,042.00"
AL,Mobile,2024,Police,,"$73,707,537.00"
AL,Mobile,2025,General Fund,,
AL,Mobile,2025,Police,,
AL,Montgomery,2018,General Fund,gf18,"$241,203,306.00"
AL,Montgomery,2018,Police,p18,"$47,830,804.00"
AL,Montgomery,2019,General Fund,gf19,"$252,916,329.00"
AL,Montgomery,2019,Police,p19,"$49,412,404.00"
AL,Montgomery,2020,General Fund,gf20,"$259,930,195.00"
AL,Montgomery,2020,Police,p20,"$49,303,904.00"
AL,Montgomery,2021,General Fund,gf21,"$244,435,312.00"
AL,Montgomery,2021,Police,p21,"$45,590,330.00"
AL,Montgomery,2022,General Fund,gf22,"$269,609,975.00"
AL,Montgomery,2022,Police,p22,"$53,661,679.00"
AL,Montgomery,2023,General Fund,gf23,"$289,703,493.00"
AL,Montgomery,2023,Police,p23,"$53,469,749.00"
AL,Montgomery,2024,General Fund,,"$311,308,522.00"
AL,Montgomery,2024,Police,,"$59,614,314.00"
AL,Montgomery,2025,General Fund,,
AL,Montgomery,2025,Police,,
AL,Opelika,2018,General Fund,gf18,"$58,729,918.00"
AL,Opelika,2018,Police,p18,"$9,405,082.00"
AL,Opelika,2019,General Fund,gf19,"$60,761,006.00"
AL,Opelika,2019,Police,p19,"$10,435,270.00"
AL,Opelika,2020,General Fund,gf20,"$63,358,967.00"
AL,Opelika,2020,Police,p20,"$11,258,211.00"
AL,Opelika,2021,General Fund,gf21,"$63,198,967.00"
AL,Opelika,2021,Police,p21,"$12,156,987.00"
AL,Opelika,2022,General Fund,gf22,"$73,429,677.00"
AL,Opelika,2022,Police,p22,"$13,343,335.00"
AL,Opelika,2023,General Fund,gf23,"$84,567,266.00"
AL,Opelika,2023,Police,p23,"$14,960,874.00"
AL,Opelika,2024,General Fund,,
AL,Opelika,2024,Police,,
AL,Opelika,2025,General Fund,,
AL,Opelika,2025,Police,,
AR,Bentonville,2018,General Fund,gf18,"$44,542,670.00"
AR,Bentonville,2018,Police,p18,"$11,252,568.00"
AR,Bentonville,2019,General Fund,gf19,"$49,243,997.00"
AR,Bentonville,2019,Police,p19,"$12,272,904.00"
AR,Bentonville,2020,General Fund,gf20,"$49,566,576.00"
AR,Bentonville,2020,Police,p20,"$13,534,425.00"
AR,Bentonville,2021,General Fund,gf21,"$51,420,751.00"
AR,Bentonville,2021,Police,p21,"$14,017,272.00"
AR,Bentonville,2022,General Fund,gf22,"$62,874,832.00"
AR,Bentonville,2022,Police,p22,"$16,021,217.00"
AR,Bentonville,2023,General Fund,gf23,"$76,719,197.00"
AR,Bentonville,2023,Police,p23,"$17,506,080.00"
AR,Bentonville,2024,General Fund,,"$79,284,313.00"
AR,Bentonville,2024,Police,,"$20,952,853.00"
AR,Bentonville,2025,General Fund,,
AR,Bentonville,2025,Police,,
AR,Conway,2018,General Fund,gf18,"$32,109,791.00"
AR,Conway,2018,Police,p18,"$11,607,596.00"
AR,Conway,2019,General Fund,gf19,"$33,600,311.00"
AR,Conway,2019,Police,p19,"$12,153,310.00"
AR,Conway,2020,General Fund,gf20,"$34,672,681.00"
AR,Conway,2020,Police,p20,"$12,404,707.00"
AR,Conway,2021,General Fund,gf21,"$34,800,850.00"
AR,Conway,2021,Police,p21,"$12,497,539.00"
AR,Conway,2022,General Fund,gf22,"$38,521,600.00"
AR,Conway,2022,Police,p22,"$13,827,734.00"
AR,Conway,2023,General Fund,gf23,"$43,518,970.00"
AR,Conway,2023,Police,p23,"$16,052,287.00"
AR,Conway,2024,General Fund,,
AR,Conway,2024,Police,,
AR,Conway,2025,General Fund,,
AR,Conway,2025,Police,,
AR,Fort Smith,2018,General Fund,gf18,"$43,641,282.00"
AR,Fort Smith,2018,Police,p18,"$16,676,834.00"
AR,Fort Smith,2019,General Fund,gf19,"$44,031,060.00"
AR,Fort Smith,2019,Police,p19,"$16,049,710.00"
AR,Fort Smith,2020,General Fund,gf20,"$42,502,960.00"
AR,Fort Smith,2020,Police,p20,"$17,059,281.00"
AR,Fort Smith,2021,General Fund,gf21,"$42,530,234.00"
AR,Fort Smith,2021,Police,p21,"$16,934,407.00"
AR,Fort Smith,2022,General Fund,gf22,"$46,376,844.00"
AR,Fort Smith,2022,Police,p22,"$16,536,436.00"
AR,Fort Smith,2023,General Fund,gf23,"$55,399,641.00"
AR,Fort Smith,2023,Police,p23,"$19,420,742.00"
AR,Fort Smith,2024,General Fund,,
AR,Fort Smith,2024,Police,,
AR,Fort Smith,2025,General Fund,,
AR,Fort Smith,2025,Police,,
AR,Jonesboro,2018,General Fund,gf18,"$47,686,364.00"
AR,Jonesboro,2018,Police,p18,"$12,035,487.00"
AR,Jonesboro,2019,General Fund,gf19,"$41,959,188.00"
AR,Jonesboro,2019,Police,p19,"$12,289,780.00"
AR,Jonesboro,2020,General Fund,gf20,"$44,246,290.00"
AR,Jonesboro,2020,Police,p20,"$13,267,844.00"
AR,Jonesboro,2021,General Fund,gf21,"$47,476,192.00"
AR,Jonesboro,2021,Police,p21,"$13,461,321.00"
AR,Jonesboro,2022,General Fund,gf22,"$49,268,633.00"
AR,Jonesboro,2022,Police,p22,"$13,684,115.00"
AR,Jonesboro,2023,General Fund,gf23,"$53,338,604.00"
AR,Jonesboro,2023,Police,p23,"$15,188,685.00"
AR,Jonesboro,2024,General Fund,,"$68,175,332.00"
AR,Jonesboro,2024,Police,,"$18,075,352.00"
AR,Jonesboro,2025,General Fund,,
AR,Jonesboro,2025,Police,,
AR,Little Rock,2018,General Fund,gf18,"$208,963,275.00"
AR,Little Rock,2018,Police,p18,"$75,742,987.00"
AR,Little Rock,2019,General Fund,gf19,"$210,623,272.00"
AR,Little Rock,2019,Police,p19,"$78,785,071.00"
AR,Little Rock,2020,General Fund,gf20,"$212,125,253.00"
AR,Little Rock,2020,Police,p20,"$80,209,890.00"
AR,Little Rock,2021,General Fund,gf21,"$210,100,969.00"
AR,Little Rock,2021,Police,p21,"$80,200,891.00"
AR,Little Rock,2022,General Fund,gf22,"$222,166,164.00"
AR,Little Rock,2022,Police,p22,"$77,174,511.00"
AR,Little Rock,2023,General Fund,gf23,"$240,747,276.00"
AR,Little Rock,2023,Police,p23,"$85,054,047.00"
AR,Little Rock,2024,General Fund,,"$257,510,221.00"
AR,Little Rock,2024,Police,,"$90,635,710.00"
AR,Little Rock,2025,General Fund,,
AR,Little Rock,2025,Police,,
AZ,Flagstaff,2018,General Fund,gf18,"$70,384,292.00"
AZ,Flagstaff,2018,Police,p18,"$22,058,620.00"
AZ,Flagstaff,2019,General Fund,gf19,"$74,623,301.00"
AZ,Flagstaff,2019,Police,p19,"$23,046,315.00"
AZ,Flagstaff,2020,General Fund,gf20,"$80,237,177.00"
AZ,Flagstaff,2020,Police,p20,"$25,165,928.00"
AZ,Flagstaff,2021,General Fund,gf21,"$81,689,749.00"
AZ,Flagstaff,2021,Police,p21,"$25,655,337.00"
AZ,Flagstaff,2022,General Fund,gf22,"$84,806,756.00"
AZ,Flagstaff,2022,Police,p22,"$21,887,143.00"
AZ,Flagstaff,2023,General Fund,gf23,"$121,529,793.00"
AZ,Flagstaff,2023,Police,p23,"$24,025,033.00"
AZ,Flagstaff,2024,General Fund,,"$136,710,187.00"
AZ,Flagstaff,2024,Police,,"$26,722,092.00"
AZ,Flagstaff,2025,General Fund,,
AZ,Flagstaff,2025,Police,,
AZ,Holbrook,2018,General Fund,gf18,"$5,009,835.00"
AZ,Holbrook,2018,Police,p18,"$2,110,941.00"
AZ,Holbrook,2019,General Fund,gf19,"$4,941,754.00"
AZ,Holbrook,2019,Police,p19,"$2,047,514.00"
AZ,Holbrook,2020,General Fund,gf20,"$4,844,668.00"
AZ,Holbrook,2020,Police,p20,"$2,267,431.00"
AZ,Holbrook,2021,General Fund,gf21,"$5,119,137.00"
AZ,Holbrook,2021,Police,p21,"$2,197,313.00"
AZ,Holbrook,2022,General Fund,gf22,"$5,545,895.00"
AZ,Holbrook,2022,Police,p22,"$2,430,252.00"
AZ,Holbrook,2023,General Fund,gf23,"$6,446,557.00"
AZ,Holbrook,2023,Police,p23,"$2,973,756.00"
AZ,Holbrook,2024,General Fund,,"$7,627,429.00"
AZ,Holbrook,2024,Police,,"$2,920,358.00"
AZ,Holbrook,2025,General Fund,,
AZ,Holbrook,2025,Police,,
AZ,Kingman,2018,General Fund,gf18,"$36,339,838.00"
AZ,Kingman,2018,Police,p18,"$10,378,128.00"
AZ,Kingman,2019,General Fund,gf19,"$32,813,112.00"
AZ,Kingman,2019,Police,p19,"$10,680,055.00"
AZ,Kingman,2020,General Fund,gf20,"$35,537,084.00"
AZ,Kingman,2020,Police,p20,"$12,958,883.00"
AZ,Kingman,2021,General Fund,gf21,"$32,929,065.00"
AZ,Kingman,2021,Police,p21,"$10,970,771.00"
AZ,Kingman,2022,General Fund,gf22,"$65,399,715.00"
AZ,Kingman,2022,Police,p22,"$10,261,044.00"
AZ,Kingman,2023,General Fund,gf23,"$35,124,714.00"
AZ,Kingman,2023,Police,p23,"$11,079,589.00"
AZ,Kingman,2024,General Fund,,"$38,898,084.00"
AZ,Kingman,2024,Police,,"$13,386,090.00"
AZ,Kingman,2025,General Fund,,
AZ,Kingman,2025,Police,,
AZ,Nogales,2018,General Fund,gf18,"$23,448,920.00"
AZ,Nogales,2018,Police,p18,"$6,521,846.00"
AZ,Nogales,2019,General Fund,gf19,"$24,482,946.00"
AZ,Nogales,2019,Police,p19,"$6,695,094.00"
AZ,Nogales,2020,General Fund,gf20,"$25,010,628.00"
AZ,Nogales,2020,Police,p20,"$7,226,056.00"
AZ,Nogales,2021,General Fund,gf21,"$30,966,178.00"
AZ,Nogales,2021,Police,p21,"$6,672,274.00"
AZ,Nogales,2022,General Fund,gf22,"$36,033,909.00"
AZ,Nogales,2022,Police,p22,"$8,034,827.00"
AZ,Nogales,2023,General Fund,gf23,"$41,040,055.00"
AZ,Nogales,2023,Police,p23,"$9,222,011.00"
AZ,Nogales,2024,General Fund,,
AZ,Nogales,2024,Police,,
AZ,Nogales,2025,General Fund,,
AZ,Nogales,2025,Police,,
AZ,Phoenix,2018,General Fund,gf18,"$1,268,098,000.00"
AZ,Phoenix,2018,Police,p18,"$548,803,000.00"
AZ,Phoenix,2019,General Fund,gf19,"$1,296,723,000.00"
AZ,Phoenix,2019,Police,p19,"$546,207,000.00"
AZ,Phoenix,2020,General Fund,gf20,"$1,374,444,000.00"
AZ,Phoenix,2020,Police,p20,"$566,452,000.00"
AZ,Phoenix,2021,General Fund,gf21,"$1,405,970,000.00"
AZ,Phoenix,2021,Police,p21,"$591,932,000.00"
AZ,Phoenix,2022,General Fund,gf22,"$1,582,611,000.00"
AZ,Phoenix,2022,Police,p22,"$611,239,000.00"
AZ,Phoenix,2023,General Fund,gf23,"$1,731,266,000.00"
AZ,Phoenix,2023,Police,p23,"$659,530,000.00"
AZ,Phoenix,2024,General Fund,,"$1,901,944,000.00"
AZ,Phoenix,2024,Police,,"$741,278,000.00"
AZ,Phoenix,2025,General Fund,,
AZ,Phoenix,2025,Police,,
AZ,Prescott,2018,General Fund,gf18,"$49,596,004.00"
AZ,Prescott,2018,Police,p18,"$13,470,672.00"
AZ,Prescott,2019,General Fund,gf19,"$40,021,056.00"
AZ,Prescott,2019,Police,p19,"$11,299,789.00"
AZ,Prescott,2020,General Fund,gf20,"$43,366,674.00"
AZ,Prescott,2020,Police,p20,"$13,016,257.00"
AZ,Prescott,2021,General Fund,gf21,"$44,592,297.00"
AZ,Prescott,2021,Police,p21,"$12,462,517.00"
AZ,Prescott,2022,General Fund,gf22,"$67,347,453.00"
AZ,Prescott,2022,Police,p22,"$14,426,222.00"
AZ,Prescott,2023,General Fund,gf23,"$89,847,613.00"
AZ,Prescott,2023,Police,p23,"$16,383,288.00"
AZ,Prescott,2024,General Fund,,
AZ,Prescott,2024,Police,,
AZ,Prescott,2025,General Fund,,
AZ,Prescott,2025,Police,,
AZ,Scottsdale,2018,General Fund,gf18,"$268,433,167.00"
AZ,Scottsdale,2018,Police,p18,"$97,732,710.00"
AZ,Scottsdale,2019,General Fund,gf19,"$276,050,462.00"
AZ,Scottsdale,2019,Police,p19,"$101,727,372.00"
AZ,Scottsdale,2020,General Fund,gf20,"$289,238,463.00"
AZ,Scottsdale,2020,Police,p20,"$106,475,691.00"
AZ,Scottsdale,2021,General Fund,gf21,"$265,697,006.00"
AZ,Scottsdale,2021,Police,p21,"$100,425,800.00"
AZ,Scottsdale,2022,General Fund,gf22,"$346,601,691.00"
AZ,Scottsdale,2022,Police,p22,"$152,109,133.00"
AZ,Scottsdale,2023,General Fund,gf23,"$330,906,623.00"
AZ,Scottsdale,2023,Police,p23,"$127,854,029.00"
AZ,Scottsdale,2024,General Fund,,
AZ,Scottsdale,2024,Police,,
AZ,Scottsdale,2025,General Fund,,
AZ,Scottsdale,2025,Police,,
AZ,Sierra Vista,2018,General Fund,gf18,"$36,698,521.00"
AZ,Sierra Vista,2018,Police,p18,"$11,156,771.00"
AZ,Sierra Vista,2019,General Fund,gf19,"$37,772,553.00"
AZ,Sierra Vista,2019,Police,p19,"$11,429,303.00"
AZ,Sierra Vista,2020,General Fund,gf20,"$39,375,859.00"
AZ,Sierra Vista,2020,Police,p20,"$11,828,157.00"
AZ,Sierra Vista,2021,General Fund,gf21,"$40,443,841.00"
AZ,Sierra Vista,2021,Police,p21,"$13,054,499.00"
AZ,Sierra Vista,2022,General Fund,gf22,"$46,778,345.00"
AZ,Sierra Vista,2022,Police,p22,"$16,107,708.00"
AZ,Sierra Vista,2023,General Fund,gf23,"$50,502,383.00"
AZ,Sierra Vista,2023,Police,p23,"$16,013,977.00"
AZ,Sierra Vista,2024,General Fund,,
AZ,Sierra Vista,2024,Police,,
AZ,Sierra Vista,2025,General Fund,,
AZ,Sierra Vista,2025,Police,,
AZ,Tempe,2018,General Fund,gf18,"$211,711,103.00"
AZ,Tempe,2018,Police,p18,"$85,315,634.00"
AZ,Tempe,2019,General Fund,gf19,"$220,703,674.00"
AZ,Tempe,2019,Police,p19,"$90,432,797.00"
AZ,Tempe,2020,General Fund,gf20,"$233,385,766.00"
AZ,Tempe,2020,Police,p20,"$94,408,306.00"
AZ,Tempe,2021,General Fund,gf21,"$236,665,420.00"
AZ,Tempe,2021,Police,p21,"$96,874,112.00"
AZ,Tempe,2022,General Fund,gf22,"$600,823,472.00"
AZ,Tempe,2022,Police,p22,"$103,800,745.00"
AZ,Tempe,2023,General Fund,gf23,"$272,404,675.00"
AZ,Tempe,2023,Police,p23,"$102,064,333.00"
AZ,Tempe,2024,General Fund,,
AZ,Tempe,2024,Police,,
AZ,Tempe,2025,General Fund,,
AZ,Tempe,2025,Police,,
AZ,Tucson,2018,General Fund,gf18,"$492,118,840.00"
AZ,Tucson,2018,Police,p18,"$160,808,940.00"
AZ,Tucson,2019,General Fund,gf19,"$497,634,490.00"
AZ,Tucson,2019,Police,p19,"$155,506,490.00"
AZ,Tucson,2020,General Fund,gf20,"$526,529,520.00"
AZ,Tucson,2020,Police,p20,"$164,080,030.00"
AZ,Tucson,2021,General Fund,gf21,"$516,441,490.00"
AZ,Tucson,2021,Police,p21,"$166,079,280.00"
AZ,Tucson,2022,General Fund,gf22,"$602,839,430.00"
AZ,Tucson,2022,Police,p22,"$148,418,650.00"
AZ,Tucson,2023,General Fund,gf23,"$602,839,430.00"
AZ,Tucson,2023,Police,p23,"$148,418,650.00"
AZ,Tucson,2024,General Fund,,"$667,417,540.00"
AZ,Tucson,2024,Police,,"$157,947,010.00"
AZ,Tucson,2025,General Fund,,
AZ,Tucson,2025,Police,,
AZ,Yuma,2018,General Fund,gf18,"$71,501,812.00"
AZ,Yuma,2018,Police,p18,"$29,659,140.00"
AZ,Yuma,2019,General Fund,gf19,"$72,641,401.00"
AZ,Yuma,2019,Police,p19,"$29,830,707.00"
AZ,Yuma,2020,General Fund,gf20,"$75,274,434.00"
AZ,Yuma,2020,Police,p20,"$30,589,114.00"
AZ,Yuma,2021,General Fund,gf21,"$76,418,679.00"
AZ,Yuma,2021,Police,p21,"$31,713,823.00"
AZ,Yuma,2022,General Fund,gf22,"$216,224,539.00"
AZ,Yuma,2022,Police,p22,"$94,536,736.00"
AZ,Yuma,2023,General Fund,gf23,"$92,075,965.00"
AZ,Yuma,2023,Police,p23,"$28,658,829.00"
AZ,Yuma,2024,General Fund,,"$100,767,982.00"
AZ,Yuma,2024,Police,,"$31,051,986.00"
AZ,Yuma,2025,General Fund,,
AZ,Yuma,2025,Police,,
CA,Arcata,2018,General Fund,gf18,"$14,452,762.00"
CA,Arcata,2018,Police,p18,"$6,254,932.00"
CA,Arcata,2019,General Fund,gf19,"$15,476,517.00"
CA,Arcata,2019,Police,p19,"$6,490,018.00"
CA,Arcata,2020,General Fund,gf20,"$14,555,613.00"
CA,Arcata,2020,Police,p20,"$6,116,396.00"
CA,Arcata,2021,General Fund,gf21,"$13,047,551.00"
CA,Arcata,2021,Police,p21,"$6,006,712.00"
CA,Arcata,2022,General Fund,gf22,"$15,486,165.00"
CA,Arcata,2022,Police,p22,"$6,688,066.00"
CA,Arcata,2023,General Fund,gf23,"$17,143,256.00"
CA,Arcata,2023,Police,p23,"$7,405,674.00"
CA,Arcata,2024,General Fund,,
CA,Arcata,2024,Police,,
CA,Arcata,2025,General Fund,,
CA,Arcata,2025,Police,,
CA,Bakersfield,2018,General Fund,gf18,"$201,445,000.00"
CA,Bakersfield,2018,Police,p18,"$87,681,092.00"
CA,Bakersfield,2019,General Fund,gf19,"$209,269,000.00"
CA,Bakersfield,2019,Police,p19,"$92,277,374.00"
CA,Bakersfield,2020,General Fund,gf20,"$287,475,000.00"
CA,Bakersfield,2020,Police,p20,"$108,009,886.00"
CA,Bakersfield,2021,General Fund,gf21,"$292,695,000.00"
CA,Bakersfield,2021,Police,p21,"$118,629,802.00"
CA,Bakersfield,2022,General Fund,gf22,"$311,038,000.00"
CA,Bakersfield,2022,Police,p22,"$132,009,368.00"
CA,Bakersfield,2023,General Fund,gf23,"$372,007,000.00"
CA,Bakersfield,2023,Police,p23,"$150,130,905.00"
CA,Bakersfield,2024,General Fund,,"$403,852,000.00"
CA,Bakersfield,2024,Police,,"$167,247,881.00"
CA,Bakersfield,2025,General Fund,,
CA,Bakersfield,2025,Police,,
CA,Belvedere,2018,General Fund,gf18,"$4,978,621.00"
CA,Belvedere,2018,Police,p18,"$1,773,937.00"
CA,Belvedere,2019,General Fund,gf19,"$5,145,686.00"
CA,Belvedere,2019,Police,p19,"$1,845,183.00"
CA,Belvedere,2020,General Fund,gf20,"$5,631,958.00"
CA,Belvedere,2020,Police,p20,"$1,901,615.00"
CA,Belvedere,2021,General Fund,gf21,"$5,529,467.00"
CA,Belvedere,2021,Police,p21,"$1,655,933.00"
CA,Belvedere,2022,General Fund,gf22,"$5,820,935.00"
CA,Belvedere,2022,Police,p22,"$1,706,704.00"
CA,Belvedere,2023,General Fund,gf23,"$6,403,822.00"
